,Present-day country/territory,Lat,Long,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
1150,Afghanistan,36.051,69.210,10.5,6.1,L,1000.0,1000.0,1000.0,1000,
1151,Afghanistan,36.053,69.248,9.1,5.6,L,,,,,
1132,Afghanistan,35.105,69.324,44.5,5.0,,4.0,4.0,4.0,4,
1261,Afghanistan,36.285,71.120,223.8,6.5,,5.0,5.0,,5,
1112,Afghanistan,36.245,70.943,135,6.3,,2.0,2.0,2.0,,
1345,Afghanistan,33.092,69.514,10.0,6.2,,,,1000.0,,
1219,Afghanistan,36.480,71.042,175,6.5,,3.0,3.0,,,
1179,Afghanistan,35.907,70.550,110,5.8,,1.0,1.0,1.0,,
1154,Afghanistan,35.988,69.296,7.8,5.8,L,50.0,50.0,50.0,50,
1226,Afghanistan,33.344,69.479,5.7,5.2,,2.0,2.0,,2,
1148,Afghanistan,36.508,70.503,204,7.3,L,16.0,166.0,166.0,150,
1302,Algeria,35.616,-0.570,10,4.6,,1.0,1.0,,,
1182,Algeria,36.880,3.694,12,6.8,"T,L,Lq",2266.0,2266.0,,2266,
1185,Algeria,36.865,3.592,8,5.7,T,9.0,9.0,,9,
1267,Algeria,36.623,5.328,10,5.2,,4.0,4.0,,4,
1311,Algeria,35.883,-0.658,4,5.5,,0.0,1.0,,,
1117,Algeria,36.437,4.838,7,5.7,,2.0,2.0,2.0,,
1230,Argentina,-28.568,-65.850,13,6.1,,1.0,1.0,,,
1102,Argentina,-23.754,-66.777,225,7.2,,0.0,1.0,1.0,,
1270,Australia,-41.164,146.863,4,2.2,,0.0,1.0,,,
1119,Azerbaijan,40.198,49.929,51.6,6.8,,5.0,31.0,5.0,31,
1120,Azerbaijan,40.161,49.912,52.9,6.5,,,,,,
1191,Bangladesh,22.836,92.316,35,5.4,,,,,,
1189,Bangladesh,22.868,92.317,35,5.6,L,2.0,2.0,2.0,2,
1190,Bangladesh,22.743,92.168,10,4.3,,,,,,
1300,Brazil,-15.048,-44.231,10,4.9,,1.0,1.0,,,
1212,Burundi,-3.360,29.446,15.7,4.7,,3.0,3.0,,3,
1329,Chile,-35.846,-72.719,35,8.8,T,,,,,521[19]
1137,Chile,-19.558,-69.234,13.4,6.3,,1.0,1.0,1.0,,
1285,Chile,-45.240,-72.670,36.7,6.2,"T,L",0.0,10.0,,10,
1331,Chile,,,,6.9,L,,,,,1
1249,Chile,-20.007,-69.198,105.2,7.8,L,5.0,11.0,,11,
1297,Chile,-22.247,-69.890,40,7.7,T,2.0,2.0,,,
1177,China,39.402,77.358,18.7,5.3,,5.0,5.0,5.0,,
1323,China,,,,5.7,,,,,,
1316,China,25.1,97.9,,5.9,,,,,,
1276,China,28.012,104.151,21,5.0,L,1.0,1.0,,,
1228,China,27.318,103.917,13.2,5.3,,4.0,4.0,,4,
1201,China,27.462,103.974,35,5.6,,4.0,4.0,4.0,4,
1274,China,27.995,104.138,55,4.9,L,0.0,22.0,,22,
1332,China,,,,6.9,L,,,,,2698
1200,China,34.713,103.865,35,5.1,,1.0,1.0,1.0,1,
1199,China,38.371,100.994,13.5,5.8,,,,,,
1198,China,38.386,100.978,12,5.8,,9.0,9.0,9.0,9,
1197,China,25.882,101.256,35,5.6,,3.0,3.0,3.0,3,
1192,China,43.779,119.718,23.3,5.4,,4.0,4.0,4.0,4,
1188,China,25.958,101.260,35,5.9,L,16.0,16.0,16.0,16,
1258,China,29.714,115.663,10.5,5.2,,16.0,16.0,,,
1319,China,,,,6.4,,,,,,
1172,China,39.754,97.391,5,5.5,,2.0,2.0,2.0,2,
1256,China,23.604,107.798,10,4.2,,1.0,1.0,,,
1181,China,39.305,77.142,10,5.8,,0.0,1.0,,1,
